# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.9038753960076282,5.0,-4.992594215002212,0,1.0,0.06289781227502961,180.0,0.0,-0.0004479336033597346
 0.08813337015679915,1.907744406370598,4.9996620093665225,-4.992594215002212,0.08813337015679915,1.0,0.06289781227502961,179.99996052210193,0.3800026794628185,-0.003174478106721645
 0.125439489870927,1.9117131647046726,4.999316294351623,-4.978417789550482,0.125439489870927,1.0,0.05787710668359753,179.99984209464165,0.4586762320938222,-0.006767955664278545
 0.15460018936927286,1.915780920196783,4.998962912558777,-4.965042469779361,0.15460018936927286,1.0,0.05337974176975787,179.9996447363203,0.5050780364175128,-0.011040220191252921
 0.17962306142331186,1.9199469220338627,4.998601921591461,-4.95240396669678,0.17962306142331183,0.9999999999999989,0.0493388788532895,179.999368478303,0.5333107814527106,-0.01583595217337918
 0.20204761063816534,1.9242104194028433,4.99823337905315,-4.940444712831282,0.20204761063816534,1.0000000000000013,0.04569769505228349,179.99901336421414,0.5498351314934913,-0.02105430513672216
 0.22265689130597022,1.9285706614906577,4.9978573425473245,-4.929113006285313,0.22265689130597022,1.0,0.04240766457712754,179.9985794501303,0.5583258282843804,-0.026623627726521933
 0.2419121770241549,1.9330268974842373,4.9974738696774565,-4.9183622829378555,0.2419121770241549,1.0,0.039427192260852305,179.99806680457158,0.5611100158663325,-0.03249010961725635
 0.26011144098060585,1.9375783765705157,4.997083018047025,-4.908150493650496,0.26011144098060585,1.0,0.03672046485734471,179.99747550849068,0.5597588122712922,-0.038611803289377314
 0.27745984674284035,1.942224347936424,4.996684845259507,-4.898439570646227,0.27745984674284035,1.0,0.034256551279527925,179.99680565526,0.5553784019127906,-0.044955116210780494
 0.2941054405229012,1.9469640607688956,4.996279408918378,-4.889194967373767,0.2941054405229012,1.0,0.032008624734183075,179.99605735065722,0.5487706869426213,-0.051492589407963224
 0.31015897013567273,1.9517967642548617,4.995866766627113,-4.880385260900312,0.3101589701356727,0.9999999999999966,0.029953352257403348,179.99523071284833,0.5405293783761054,-0.0582014091941621
 0.3257056809781196,1.9567217075812555,4.995446975989192,-4.871981806952852,0.3257056809781195,1.0,0.028070373623482858,179.99432587236896,0.5311009373901158,-0.0650623663268134
 0.34081272857752665,1.961738139935009,4.99502009460809,-4.86395843981161,0.3408127285775266,1.0,0.026341859831570443,179.99334297210393,0.5208250143362473,-0.07205910307646388
 0.35553404474748673,1.9668453105030546,4.994586180087282,-4.856291210106342,0.3555340447474867,1.0,0.024752161700397544,179.99228216726462,0.5099622060990575,-0.07917755356365544
 0.3699136491812057,1.9720424684723246,4.9941452900302465,-4.848958155306491,0.3699136491812056,1.0,0.023287496590217106,179.99114362536434,0.49871365931621214,-0.08640551834829649
 0.38398797215799957,1.977328863029751,4.99369748204046,-4.841939098192335,0.3839879721579995,1.0,0.02193569968208593,179.98992752619213,0.4872352350040973,-0.09373233507960833
 0.3977875260359378,1.9827037433622665,4.993242813721397,-4.835215469315667,0.3977875260359377,0.999999999999996,0.020686004977457397,179.9886340617841,0.47564793137224065,-0.10114861938976011
 0.41133813502189126,1.9881663586568035,4.992781342676538,-4.828770150182664,0.41133813502189115,1.0,0.019528857516990253,179.98726343639328,0.4640456522787902,-0.10864605837310726
 0.42466185755405356,1.993715958100294,4.992313126509355,-4.822587334669445,0.42466185755405345,1.0,0.01845575506817676,179.9858158664573,0.452501130005887,-0.1162172439888384
 0.43777768994391814,1.9993517908796707,4.991838222823328,-4.816652405692063,0.437777689943918,1.0,0.017459128850358045,179.98429158056433,0.4410704092882522,-0.12385553736897262
 0.4507021112633348,2.0050731061818654,4.991356689221931,-4.8109518258908945,0.4507021112633347,1.0,0.016532202633392612,179.98269081941663,0.42979636631461365,-0.13155495717190127
 0.46344951097872145,2.0108791531938106,4.990868583308642,-4.805473039813261,0.46344951097872134,1.0,0.015668925070814143,179.98101383579302,0.4187113991784166,-0.1393100871645472
 0.4760325286193494,2.016769181102439,4.990373962686938,-4.8002043868910675,0.4760325286193493,1.0,0.014863856912825471,179.9792608945087,0.4078395873039178,-0.14711599903580538
 0.48846232651599114,2.0227424390946824,4.989872884960294,-4.79513502324663,0.48846232651599103,1.0,0.014112108928879718,179.97743227237333,0.39719837007509995,-0.15496818751912375
 0.5007488109630578,2.0287981763574736,4.989365407732186,-4.790254851650302,0.5007488109630577,1.0,0.01340928322907376,179.9755282581476,0.38679988228379675,-0.1628625156636925
 0.5129008131728384,2.0349356420777447,4.988851588606094,-4.785554458626046,0.5129008131728383,1.0,0.012751412571865047,179.97354915249736,0.3766520251509855,-0.1707951682581613
 0.5249262385516281,2.041154085442428,4.988331485185491,-4.781025057803823,0.524926238551628,1.0,0.012134898883725306,179.9714952679464,0.3667593369521464,-0.17876261213944383
 0.5368321907751263,2.0474527556384556,4.987805155073857,-4.776658438660549,0.5368321907751261,0.9999999999999907,0.011556499139378599,179.96936692882693,0.3571236585021169,-0.18676156211958253
 0.5486250756366146,2.05383090185276,4.987272655874665,-4.77244692047452,0.5486250756366143,1.0,0.01101326012686781,179.9671644712283,0.34774471277735153,-0.19478895166005453
 0.5603106885257924,2.060287773272274,4.986734045191393,-4.768383310376746,0.560310688525792,0.9999999999999905,0.010502509658322794,179.9648882429441,0.33862053582658547,-0.20284190753696388
